FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG,NIT,RAZ_SIAL
2004,1,249,USA,0,AXM,68,7,249,1,198,1,8,2,2710129200,68,67,M3,89.87,111568.02,111568.02,78803.47,318352622.21,0,0,0,0,830095617,ENERGIZAR S.A.S
2004,3,023,DEU,3,BOG,5,4,249,1,198,1,8,2,603199010,5,11,U,180,33,28,54,216474.12,0,0,0,0,901086417,GARDEN´S & FLOWERS S.A.S
2004,3,023,DEU,3,BOG,5,4,253,1,198,1,6,2,810905000,5,33,KG,1598.5,2031,1598.5,6442.48,25040566.83,0,0,0,0,800176428,COMERCIALIZADORA INTERNACIONAL CARIBBEAN EXOTICS S. A.
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,1,7007210000,11,11,U,60,4261,3425,41923.96,166995290.61,16073.97,14714,596.9,0,860535706,A .G.P. DE COLOMBIA S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,804200000,11,33,KG,99,155.75,99,251.2,969182.35,0,68.21,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,804501000,11,33,KG,42,66.68,42,161.5,623100.91,0,49.85,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,807190000,11,33,KG,18,29.76,18,48,185194.08,0,0,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810901010,11,33,KG,603,976.85,603,3415,13175787.15,0,369.47,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810901020,11,33,KG,569.5,888.44,569.5,2017,7782009.57,0,751.56,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810901030,11,33,KG,530.95,837.83,530.95,2058.2,7940967.82,0,575.18,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810901040,11,33,KG,14,23.15,14,47.6,183650.79,0,0,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810902000,11,33,KG,75,122.28,75,275,1061007.75,0,24.81,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810903000,11,33,KG,218,351.72,218,668.8,2580370.84,0,108.27,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810904000,11,33,KG,79.5,127.19,79.5,524.5,2023631.14,0,79.4,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810905000,11,33,KG,6866.6,10743.88,6866.6,9351.8,36081208.27,0,3542.01,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810909010,11,33,KG,14,23.15,14,52.5,202556.02,0,0,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,810909020,11,33,KG,50,81.52,50,182,702194.22,0,17.14,0,0,800026845,OCATI S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,6,2,7007210000,11,11,U,1,79,52,54.67,217766.46,0,591,50,0,860535706,A .G.P. DE COLOMBIA S A
2004,3,023,DEU,3,BOG,11,4,23,1,198,1,8,1,603129000,11,11,U,6240,207,185,1123.2,4365642.52,1123.2,0,0,0,800149419,LUISIANA FARMS S.A.S
2004,3,023,DEU,3,BOG,11,4,23,1,199,1,8,2,301110090,11,11,U,4430,279,250,2668.7,10372676.47,0,0,0,0,830058328,J R TROPICAL FISH LTDA
2004,3,023,DEU,3,BOG,11,4,23,1,199,1,8,2,301110090,11,11,U,39463,640,600,3550,13798104.5,0,0,0,0,860509925,PECES TROPICALES LTDA
2004,3,023,DEU,3,BOG,11,4,23,1,2,2,8,2,7007210000,11,11,U,6,160,150,66.78,266004.1,0,1150,50,0,860535706,A .G.P. DE COLOMBIA S A
2004,3,023,DEU,3,BOG,11,4,23,1,107,2,8,2,6902900000,25,11,U,42,530,478,36.12,146449.98,0,1279.2,0,1539.98,860000762,LADRILLERA SANTAFE S.A.
2004,3,023,DEU,3,BOG,11,4,23,1,198,2,8,2,2844409000,25,33,KG,12,12,12,1000,4054540,0,0,0,0,860002067,PROQUINAL S.A.S.
2004,3,023,DEU,3,BOG,11,4,149,1,199,1,8,2,301110090,11,11,U,62200,1998,1598.4,25057,98249856.07,0,0,0,0,19473179,ZEA BARRERA ABEL
2004,3,023,DEU,3,BOG,11,4,169,1,198,1,6,1,7007210000,11,11,U,44,3324,2703,29131.07,116037499.81,10502.72,12101,827.04,0,860535706,A .G.P. DE COLOMBIA S A
2004,3,023,DEU,3,BOG,11,4,245,1,104,2,8,2,7326909000,11,11,U,78,83,54,4724,18793867.12,0,310.62,3.78,0,830005771,SURGIPLAST LTDA
2004,3,023,DEU,3,BOG,11,4,249,1,198,1,6,1,603129000,11,11,U,5120,187,171,870.4,3516302.84,846.95,0,0,0,860351680,C.I. AGROMONTE S.A.S.
2004,3,023,DEU,3,BOG,11,4,249,1,198,1,6,1,7007210000,11,11,U,7,455,395,3588.58,14294354.82,1328.42,1808,54.51,0,860535706,A .G.P. DE COLOMBIA S A
2004,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603110000,11,11,U,30164,2735,2535,13482.99,52793999.64,0,0,0,0,830144787,EL MILAGRO DE LAS FLORES S A S
2004,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603129000,11,11,U,14560,495,444,2544,9845619.2,0,0,0,0,900552241,GEOFLORA SAS
2004,3,023,DEU,3,BOG,11,4,249,1,2,2,8,2,7007210000,11,11,U,2,223,89,111.58,444455.49,0,1300,50,0,860535706,A .G.P. DE COLOMBIA S A
2004,3,023,DEU,3,BOG,11,4,249,4,201,2,8,2,9018390000,11,11,U,10,64.92,64.92,29457.03,117034547.61,0,512.33,88.06,0,830015923,MERCK SHARP & DOHME SALUD ANIMAL COLOMBIA S.A.S
2004,3,023,DEU,3,BOG,11,4,249,4,201,2,8,2,9018909000,11,11,U,4,16.58,16.58,7524.48,29895210.5,0,130.87,22.5,0,830015923,MERCK SHARP & DOHME SALUD ANIMAL COLOMBIA S.A.S
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,1,603110000,11,11,U,4875,304,300,1687.5,6814040.62,1632.95,0,0,0,860025565,FLORES DE LOS ANDES S.A.S
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,1,603121000,11,11,U,10800,358.29,328,1165.32,4529354.12,1104.08,0,0,69.42,800220087,TURFLOR S.A.S
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,1,603121000,11,11,U,1440,61.54,52,244.8,989657.31,238.21,0,0,12.83,860351680,C.I. AGROMONTE S.A.S.
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,1,603129000,11,11,U,36000,1344.7,1231,4122.43,16023019.69,3914.03,0,0,245.58,800220087,TURFLOR S.A.S
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,1,603129000,11,11,U,30400,1208.44,1015,5225.6,21200880.25,5086.38,0,0,281.03,860351680,C.I. AGROMONTE S.A.S.
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,2,603121000,11,11,U,7200,249.24,226,1112.4,4419631.94,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,2,603129000,11,11,U,3840,136.75,124,566.4,2250341.18,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,6,2,603129000,11,11,U,6240,247,206,984,3914725.92,0,0,0,0,900552241,GEOFLORA SAS
2004,3,023,DEU,3,BOG,11,4,445,1,198,1,8,1,603129000,11,11,U,18800,741,644,3366,13082935.14,3366,0,0,0,800149419,LUISIANA FARMS S.A.S
2004,3,023,DEU,3,BOG,11,4,573,1,198,1,8,2,603193000,11,11,U,16,12,11,49.6,191967.37,0,0,0,0,860040407,PLAZOLETA BAZZANI S.A.S
2004,3,023,DEU,3,BOG,11,4,573,1,198,2,8,2,603193000,11,11,U,320,14.54,10,3.2,12437.72,0,0,0,0,860040407,PLAZOLETA BAZZANI S.A.S
2004,3,023,DEU,3,BOG,11,4,573,1,198,2,8,2,603199090,11,11,U,200,17.45,12,0.8,3109.43,0,0,0,0,860040407,PLAZOLETA BAZZANI S.A.S
2004,3,023,DEU,3,BOG,11,4,618,1,198,1,6,2,603129000,11,11,U,4320,154,141,734.4,2917815.26,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,6,2,603121000,11,11,U,3500,123.42,113,560,2224913.6,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,6,2,603121000,11,11,U,260,19.04,17,38.75,156470.56,0,0,0,0,900552241,GEOFLORA SAS
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,6,2,603129000,11,11,U,9920,385.57,353,1587.2,6306040.83,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,6,2,603129000,11,11,U,2920,92.96,83,504.8,2038357.16,0,0,0,0,900552241,GEOFLORA SAS
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,8,1,603129000,11,11,U,14080,499,418,2393.6,9624521.98,2297.16,0,0,0,860501528,FLORES LA CONEJERA SAS
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,8,2,603199010,5,11,U,435,101,72,739.5,2862094.24,0,0,0,0,900984374,VIVA FLOWERS S.A.S
2004,3,023,DEU,3,BOG,11,4,827,1,198,1,8,2,603900000,11,11,U,39848,1197,1161,53361.84,209222703.12,0,0,0,0,900038620,PRESH TECH S A S
2004,3,023,DEU,3,BOG,17,4,23,1,198,1,8,1,603121000,17,11,U,11441,393.03,334,1966.37,7882744.72,1892.23,0,0,0,860518356,LA GAITANA FARMS SAS
2004,3,023,DEU,3,BOG,17,4,23,1,198,1,8,1,603129000,17,11,U,23734,1070.95,913,4065.18,16296412.27,3911.39,0,0,0,860518356,LA GAITANA FARMS SAS
2004,3,023,DEU,3,BOG,17,4,249,1,198,1,8,1,603121000,17,11,U,16032,534.93,492,2888.48,11430104.95,2784.59,0,0,0,860518356,LA GAITANA FARMS SAS
2004,3,023,DEU,3,BOG,17,4,249,1,198,1,8,1,603129000,17,11,U,53234,1967.04,1816,8784.1,35102159.28,8439.14,0,0,0,860518356,LA GAITANA FARMS SAS
