CODIGO,PAIS
1,ZFPE Agroindustrial
2,ZFP El Dorado
3,ZFECA Ecopetrol
4,ZF CTIC-Centro
13,Afganistán
15,Islas Aland
17,Albania
23,Alemania
24,Antartida
26,Armenia
27,Aruba
29,Bosnia-Herzegovina
31,Burkina Fasso
37,Andorra
40,Angola
41,Anguilla
43,Antigua y Barbuda
47,Antillas Holandesas
53,Arabia Saudita
59,Argelia
63,Argentina
69,Australia
72,Austria
74,Azerbaijan
77,Bahamas
80,Bahrein
81,Bangladesh
83,Barbados
87,Bélgica
88,Belice
90,Bermudas
91,Belarus
93,Birmania (Myanmar)
97,Bolivia
98,San Eus Bonaire
101,Botswana
102,Isla Bouvet
105,Brasil
108,Brunei Darussalam
111,Bulgaria
115,Burundi
119,Bután
127,Cabo Verde
129,ZFP Zofrandina
130,ZFPE Colmotores
131,ZFPE Tablemac MDF
132,ZFPE Fundación Cardiovascular
133,ZFPE Aceites cimarrones
134,ZFPE Puerto Brisa
135,ZFPE Clínica Cardiovascular Corazón Joven
137,Islas Caimán
141,Camboya (Kampuchea)
145,República Unida del Camerún
149,Canadá
155,Islas Anglonormandas
156,Ceilán
157,Islas Cantón y Enderburry
159,Santa Sede
165,Islas Cocos (Keeling)
169,Colombia
173,Comoras
177,Congo
183,Islas Cook
187,República Popular Democrática de Corea (Norte),
190,República de Corea (Sur),
193,Costa de Marfil
196,Costa Rica
198,Croacia
199,Cuba
200,Curazao
203,Chad
211,Chile
215,China
218,Taiwan (Formosa)
221,Chipre
229,Benin
232,Dinamarca
235,Dominica
239,Ecuador
240,Egipto
242,El Salvador
243,Eritrea
244,Emiratos Árabes Unidos
245,España
246,Eslovaquia
247,Eslovenia
249,Estados Unidos
251,Estonia
253,Etiopia
259,Islas Feroe
267,Filipinas
271,Finlandia
275,Francia
281,Gabón
285,Gambia
287,Georgia
289,Ghana
293,Gibraltar
297,Granada
301,Grecia
305,Groenlandia
309,Guadalupe
313,Guam
317,Guatemala
325,Guayana Francesa
327,Guernsey
329,Guinea
331,Guinea Ecuatorial
334,Guinea-Bissau
337,Guyana
341,Haití
343,Heard y Mc Dona
345,Honduras
351,Hong Kong
355,Hungría
361,India
365,Indonesia
369,Irak
372,República Islámica del Irán
375,Irlanda (Eire)
379,Islandia
383,Israel
386,Italia
391,Jamaica
395,Islas Johnston
399,Japón
401,Jersey
403,Jordania
406,Kazajstán
410,Kenia
411,Kiribati
412,Kirguizistán
413,Kuwait
420,República Popular Democrática de Laos
426,Lesotho
429,Letonia
431,Líbano
434,Liberia
438,Libia (Incluye Fezzan)
440,Liechtenstein
443,Lituania
445,Luxemburgo
447,Macao
448,Macedonia
450,Madagascar
455,Malaysia
458,Malawi
461,Maldivas
464,Mali
467,Malta
468,Isla de Man
469,Islas Marianas del Norte
472,Islas Marshall
474,Marruecos
477,Martinica
485,Mauricio
488,Mauritania
489,Mayote
493,México
494,Estados Federados de Micronesia
495,Islas Midway
496,Moldavia
497,Mongolia
498,Mónaco
500,Montenegro
501,Isla Monserrat
505,Mozambique
507,Namibia
508,Nauru
511,Islas Navidad (Christmas)
517,Nepal
521,Nicaragua
525,Níger
528,Nigeria
531,Isla Niue
535,Isla Norfolk
538,Noruega
542,Nueva Caledonia
545,Papuasia Nueva Guinea
548,Nueva Zelandia
551,Vanuatu
556,Omán
563,Islas Pacifico (Usa)
566,Islas Ultramarinas Menores de los Estados Unidos
573,Países Bajos (Holanda)
576,Pakistán
578,Islas Palau
579,Territorios autónomos de Palestina
580,Panamá
586,Paraguay
587,Península de Malasia
589,Perú
593,Isla Pitcairn
599,Polinesia Francesa
603,Polonia
607,Portugal
611,Puerto Rico
618,Qatar
620,ZFE Sociedad Puerto Industrial Aguadulce S.A.
621,ZF Internacional del Valle
622,ZFPE FRESENIUS MEDICAL CARE Servicio RENAL
623,ZFP Destilería Riopaila
624,ZFPE Puerto Bahía
625,ZFPE Medical DUARTE
626,ZFPE Sociedad Portuaria Regional de Buenaventura
628,Reino Unido
630,ZFP Barranquilla Internacional Terminal company
631,ZFP Palermo
632,ZFP Santelka Enterprise
633,ZFP FEMSA
634,ZFPE SYKES
635,ZFPE Sociedad Portuaria Puerto Nuevo
636,ZFPE Termotasajero
637,ZFPE Sociedad P 637
638,ZFPE GETCOM
640,República Centroafricana
644,República Checa
647,República Dominicana
650,Zona Franca Permanente Especial Centro Hospitalario Serena del Mar
651,ZF Puerto Mamonal
652,ZF Promotora Industrial y Logística de Ibagué S.A.S
653,ZF Aceites y Grasas de Catatumbo
655,ZFPE Plaza Mayo
656,ZFPE Clínica de
657,ZFPE Clínica Un
660,Reunión
665,Zimbabue
670,Rumania
675,Ruanda
676,Rusia
677,Islas Salomón
685,Sahara Occidental
687,Samoa
688,Serbia y Montenegro
690,Samoa Norteamericana
693,San Bartolome
695,San Cristóbal y Nieves
697,San Marino
698,San Martin (Parte Francesa)
699,San Martin (Parte Holandesa)
700,San Pedro y Miguelón
705,San Vicente y Las Granadinas
710,Santa Elena
715,Santa Lucia
720,Santo Tome y Príncipe
728,Senegal
729,Serbia
731,Seychelles
735,Sierra Leona
741,Singapur
744,República Árabe de Siria
748,Somalia
750,Sri Lanka
756,República de Sudáfrica
759,Sudan
760,Sudan del Sur
764,Suecia
767,Suiza
770,Surinam
772,Islas Svalbard y Jan Mayen
773,Swazilandia
774,Tadjikistán
776,Tailandia
780,República Unida de Tanzania,
783,Djibouti
786,Territorios Franceses del Sur
787,Territorio Británico del Océano Indico
788,Timor del Este
791,ZFPE Sociedad P
792,ZFP Repsol Expl
794,ZFPE Empresa Co
795,ZFPE Onelink Co
796,ZFPCA Petrobras
797,ZFPE Impala Ter
800,Togo
805,Tokelau
810,Tonga
815,Trinidad y Tobago
820,Túnez
823,Islas Turcas y Caicos
825,Turkmenistán
827,Turquía
828,Tuvalu
830,Ucrania
833,Uganda
845,Uruguay
847,Uzbekistán
850,Venezuela
855,Vietnam
863,Islas Vírgenes(Británicas)
866,Islas Vírgenes (Norteamericanas)
870,Fiji
873,Islas Wake
875,Islas Wallis y Fortuna
880,Yemen
885,Yugoslavia
888,Zaire
890,Zambia
897,Zona Neutral Palestina
900,ZFP Andina
902,ZFPE Gecelca3
903,ZFPE Cementera del Magdalena Medio
904,ZFPE Extractora la Gloria
905,ZPFE Olmue
907,ZFP Centro Logístico del Pacífico CELPA
911,ZFP Barranquilla
912,ZFP Buenaventura
913,ZFP Palmaseca - Cali
914,ZFP Cúcuta
915,ZFP Santa Marta
916,ZFP Cartagena
917,ZFP Rionegro - Medellín
918,ZFP Candelaria - Cartagena
919,ZF de Bogotá
920,ZF de Pacifico - Cali
921,ZF de Barú Beach Resort
922,ZF de Pozos Colorados
923,ZF de Euro Caribe de Indias
924,ZF del Eje Cafetero
925,ZFPE Cerveceria del Valle
926,ZFP Agroindustrial Magdalena Medio
927,ZFP de Bienes y Servicios Ciudadela Salud
928,ZFP La Cayena
929,ZFP Internacional del Atlántico
930,ZFPE BIO D Facatativa
931,ZFPE Biocombustible Sostenibles del Caribe
932,ZFPE Maquilagro
933,ZFPE Agroindustrias del Cauca
934,ZFP Parque Industrial Dexton
935,ZFPE Argos S.A
