column_name,code,value
ADUA,1,Armenia
ADUA,2,Barranquilla
ADUA,3,Especial de Aduanas de Bogotá
ADUA,4,Bucaramanga
ADUA,5,Cali
ADUA,6,Especial de Aduanas de Cartagena
ADUA,7,Cúcuta
ADUA,10,Manizales
ADUA,11,Medellín
ADUA,16,Pereira
ADUA,19,Santa Marta
ADUA,25,Riohacha
ADUA,27,San Andrés
ADUA,34,Araucs
ADUA,35,Buenaventura
ADUA,36,Cartago
ADUA,37,Ipiales
ADUA,38,Leticia
ADUA,39,Maicao
ADUA,40,Tumaco
ADUA,41,Urabá
ADUA,42,Puerto Carreño
ADUA,43,Inírida
ADUA,44,Yopal
ADUA,46,Puerto Asís
ADUA,47,Administración Especial de Servisios Aduaneros
ADUA,48,Cartagena
ADUA,49,Valledupar
ADUA,87,Barranquilla
ADUA,88,Cali
ADUA,89,Cucuta
ADUA,90,Medellin
COD_SAL,AXM,ARMENIA
COD_SAL,BAQ,BARRANQUILLA
COD_SAL,BOG,BOGOTA
COD_SAL,BGA,BUCARAMANGA
COD_SAL,CLO,CALI
COD_SAL,CTG,CARTAGENA
COD_SAL,CUC,CUCUTA
COD_SAL,MZL,MANIZALES
COD_SAL,MDE,MEDELLIN
COD_SAL,PEI,PEREIRA
COD_SAL,SMR,SANTA MARTA
COD_SAL,RCH,RIOHACHA
COD_SAL,ADZ,SAN ANDRES
COD_SAL,AUC,ARAUCA
COD_SAL,BUN,BUENAVENTURA
COD_SAL,CAR,CARTAGO
COD_SAL,IPI,IPIALES
COD_SAL,LET,LETICIA
COD_SAL,MAI,MAICAO
COD_SAL,TCO,TUMACO
COD_SAL,TRB,URABA
COD_SAL,PCR,PUERTO CARRENO
COD_SAL,INI,INIRIDA
COD_SAL,YOP,YOPAL
COD_SAL,PUU,PUERTO ASIS
COD_SAL,VUP,VALLEDUPAR.
COD_SAL,PA_,PAMPLONA
VIA,1,MARITIMO
VIA,2,FERREO
VIA,3,TERRESTRE
VIA,4,AEREO
VIA,5,CORREO
VIA,6,MULTIMODAL
"VIA,7,""INSTALACIONES DE TRANSPORTE FIJAS (TUBERIAS,CABLE,ETC.)"""
VIA,8,VIAS NAVEGABLES INTERIORES
VIA,9,OTRO MODO DE TRANSPORTE
BANDERA,27,Aruba
BANDERA,13,Afganistán
BANDERA,40,Angola
BANDERA,41,Anguilla
"BANDERA,15,""Aland,islas"""
BANDERA,17,Albania
BANDERA,37,Andorra
BANDERA,244,Emiratos Arabes
BANDERA,63,Argentina
BANDERA,26,Armenia
BANDERA,690,Samoa Americana
BANDERA,24,Antartida
BANDERA,786,Territorios Fra
BANDERA,43,Antigua y Barbu
BANDERA,69,Australia
BANDERA,72,Austria
BANDERA,74,Azerbaiyán
BANDERA,115,Burundi
BANDERA,87,Bélgica
BANDERA,229,Benin
"BANDERA,98,""Bonaire,San Eus"""
BANDERA,31,Burkina Faso
BANDERA,81,Bangladesh
BANDERA,111,Bulgaria
BANDERA,80,Bahrein
BANDERA,77,Bahamas
BANDERA,29,Bosnia y Herzeg
BANDERA,693,San Bartolome
BANDERA,91,Belarús
BANDERA,88,Belice
BANDERA,90,Bermudas
BANDERA,97,Bolivia
BANDERA,105,Brasil
BANDERA,83,Barbados
BANDERA,108,Brunei Darussal
BANDERA,119,Bután
"BANDERA,102,""Bouvet,isla"""
BANDERA,101,Botswana
BANDERA,640,República Centr
BANDERA,149,Canadá
BANDERA,165,Cocos (Keeling)
BANDERA,767,Suiza
BANDERA,211,Chile
BANDERA,215,China
BANDERA,193,Costa de Marfil
"BANDERA,145,""Camerún,Repúbl"""
BANDERA,888,Rep. Democrátic
"BANDERA,177,""Congo,Repúblic"""
"BANDERA,183,""Cook,Islas"""
BANDERA,169,Colombia
BANDERA,173,Comoras
BANDERA,127,Cabo Verde
BANDERA,196,Costa Rica
BANDERA,199,Cuba
BANDERA,200,Curazao
BANDERA,511,Navidad (Christ
"BANDERA,137,""Caimán,Islas"""
BANDERA,221,Chipre
BANDERA,644,Republica Checa
BANDERA,23,Alemania
BANDERA,783,Djibouti
BANDERA,235,Dominica
BANDERA,232,Dinamarca
BANDERA,647,República Domin
BANDERA,59,Argelia
BANDERA,239,Ecuador
BANDERA,240,Egipto
BANDERA,243,Eritrea
BANDERA,685,Sahara Occident
BANDERA,245,España
BANDERA,251,Estonia
BANDERA,253,Etiopía
BANDERA,271,Finlandia
BANDERA,870,Fiji
BANDERA,275,Francia
"BANDERA,259,""Feroe,Islas"""
"BANDERA,494,""Micronesia,Est"""
BANDERA,281,Gabón
BANDERA,628,Reino Unido
BANDERA,287,Georgia
BANDERA,327,Guernsey
BANDERA,289,Ghana
BANDERA,293,Gibraltar
BANDERA,329,Guinea
BANDERA,309,Guadalupe
BANDERA,285,Gambia
BANDERA,334,Guinea Bissau
BANDERA,331,Guinea Ecuatori
BANDERA,301,Grecia
BANDERA,297,Granada
BANDERA,305,Groenlandia
BANDERA,317,Guatemala
BANDERA,325,Guayana Frances
BANDERA,313,Guam
BANDERA,337,Guyana
BANDERA,351,Hong Kong
BANDERA,343,Heard y Mc Dona
BANDERA,345,Honduras
BANDERA,198,Croacia
BANDERA,341,Haití
BANDERA,355,Hungría
BANDERA,365,Indonesia
"BANDERA,468,""Man,isla de"""
BANDERA,361,India
BANDERA,787,Territorio Brit
BANDERA,375,Irlanda (Eire)
BANDERA,372,Irán
BANDERA,369,Irak
BANDERA,379,Islandia
BANDERA,383,Israel
BANDERA,386,Italia
BANDERA,391,Jamaica
BANDERA,401,Jersey
BANDERA,403,Jordania
BANDERA,399,Japón
BANDERA,406,Kazajstán
BANDERA,410,Kenia
BANDERA,412,Kirguistán
BANDERA,141,Camboya
BANDERA,411,Kiribati
BANDERA,695,Saint kitts y n
"BANDERA,190,""Corea (Sur),Re"""
BANDERA,413,Kuwait
"BANDERA,420,""Laos,República"""
BANDERA,431,Libano
BANDERA,434,Liberia
BANDERA,438,Libia
BANDERA,715,Santa Lucía
BANDERA,440,Liechtenstein
BANDERA,750,Sri Lanka
BANDERA,426,Lesotho
BANDERA,443,Lituania
BANDERA,445,Luxemburgo
BANDERA,429,Letonia
BANDERA,447,Macao
BANDERA,698,San Martin (Par
BANDERA,474,Marruecos
BANDERA,498,Mónaco
BANDERA,496,Moldavia
BANDERA,450,Madagascar
BANDERA,461,Maldivas
BANDERA,493,México
"BANDERA,472,""Marshall,Islas"""
BANDERA,448,Macedonia
BANDERA,464,Malí
BANDERA,467,Malta
BANDERA,93,Myanmar
BANDERA,500,Montenegro
BANDERA,497,Mongolia
BANDERA,469,Marianas septen
BANDERA,505,Mozambique
BANDERA,488,Mauritania
"BANDERA,501,""Montserrat,Isl"""
BANDERA,477,Martinica
BANDERA,485,Mauricio
BANDERA,458,Malawi
BANDERA,455,Malasia
BANDERA,489,Mayote
BANDERA,507,Namibia
BANDERA,542,Nueva Caledonia
BANDERA,525,Níger
"BANDERA,535,""Norfolk,Isla"""
BANDERA,528,Nigeria
BANDERA,521,Nicaragua
"BANDERA,531,""Niue,Isla"""
BANDERA,573,Países Bajos
BANDERA,538,Noruega
BANDERA,517,Nepal
BANDERA,508,Nauru
BANDERA,548,Nueva Zelanda
BANDERA,556,Omán
BANDERA,576,Pakistán
BANDERA,580,Panamá
"BANDERA,593,""Pitcairn,Isla"""
BANDERA,589,Perú
BANDERA,267,Filipinas
"BANDERA,578,""Palau,Islas"""
BANDERA,545,Papúa Nueva Gui
BANDERA,603,Polonia
BANDERA,611,Puerto Rico
"BANDERA,187,""Corea (Norte),"""
BANDERA,607,Portugal
BANDERA,586,Paraguay
BANDERA,579,Estado de Pales
BANDERA,599,Polinesia Franc
BANDERA,618,Qatar
BANDERA,660,Reunión
BANDERA,670,Rumania
BANDERA,676,Rusia
BANDERA,675,Ruanda
BANDERA,53,Arabia Saudita
BANDERA,759,Sudán
BANDERA,728,Senegal
BANDERA,741,Singapur
BANDERA,710,Santa Elena
BANDERA,772,Svalbard Y Jan
"BANDERA,677,""Salomón,Islas"""
BANDERA,735,Sierra Leona
BANDERA,242,El Salvador
BANDERA,697,San Marino
BANDERA,748,Somalia
BANDERA,700,San Pedro y Mig
BANDERA,729,Serbia
BANDERA,760,Sudan del Sur
BANDERA,720,Santo Tomé y Pr
BANDERA,770,Surinam
BANDERA,246,Eslovaquia
BANDERA,247,Eslovenia
BANDERA,764,Suecia
BANDERA,773,Swazilandia
BANDERA,699,San Martin (Par
BANDERA,731,Seychelles
"BANDERA,744,""Siria,Repúblic"""
BANDERA,823,Turcas y Caicos
BANDERA,203,Chad
BANDERA,800,Togo
BANDERA,776,Tailandia
BANDERA,774,Tayikistán
BANDERA,805,Tokelau
BANDERA,825,Turkmenistán
BANDERA,788,Timor del Este
BANDERA,810,Tonga
BANDERA,815,Trinidad y Toba
BANDERA,820,Túnez
BANDERA,827,Turquía
BANDERA,828,Tuvalu
BANDERA,218,Taiwan
"BANDERA,780,""Tanzania,Repúb"""
BANDERA,833,Uganda
BANDERA,830,Ucrania
BANDERA,566,Islas Ultramari
BANDERA,845,Uruguay
BANDERA,249,Estados Unidos
BANDERA,847,Uzbekistan
BANDERA,159,Santa Sede
BANDERA,705,San Vicente y l
"BANDERA,850,""Venezuela,Repub"""
BANDERA,863,Virgenes Britan
BANDERA,866,Virgenes de los
BANDERA,855,Viet Nam
BANDERA,551,Vanuatu
BANDERA,875,Wallis y Futuna
BANDERA,687,Samoa
BANDERA,1,ZFPE AGROINDUST
BANDERA,2,ZFP EL DORADO S
BANDERA,3,ZFPCA ECOPETROL
BANDERA,4,ZF  CTIC-CENTRO
BANDERA,129,ZFP Zofrandina.
BANDERA,130,ZFPE Colmotores
BANDERA,131,ZFPE Tablemac S
BANDERA,132,ZFPE Fundación
BANDERA,133,ZFPE Aceites Ci
BANDERA,134,ZFPE Puerto Bri
BANDERA,135,ZFPE Clinica Ca
BANDERA,620,ZFPE Puerto Ind
