column_name,code,value
ADUA,1,             Armenia
ADUA,87,Barranquilla
ADUA,3,Especial de Aduanas de Bogotá
ADUA,4,Bucaramanga
ADUA,88,Cali
ADUA,48,Cartagena
ADUA,89,Cúcuta
ADUA,10,Manizales
ADUA,90,Medellín
ADUA,16,Pereira
ADUA,19,Santa Marta
ADUA,25,Riohacha
ADUA,27,San Andrés
ADUA,34,Arauca
ADUA,35,Buenaventura
ADUA,36,Cartago
ADUA,37,Ipiales
ADUA,38,Leticia
ADUA,39,Maicao
ADUA,40,Tumaco
ADUA,41,Turbo
ADUA,42,Puerto Carreño
ADUA,43,Inírida
ADUA,44,Yopal
ADUA,46,Puerto Asís
ADUA,47,Especial de Servicios Aduaneros del Aeropuerto Internacional El Dorado
ADUA,49,Valledupar
ADUA,86,           Pamplona
PAISGEN,013,AFGANISTAN
PAISGEN,017,ALBANIA
PAISGEN,023,ALEMANIA
PAISGEN,026,ARMENIA
PAISGEN,027,ARUBA
PAISGEN,029,BOSNIA-HERZEGOVINA
PAISGEN,031,BURKINA FASSO
PAISGEN,037,ANDORRA
PAISGEN,040,ANGOLA
PAISGEN,041,ANGUILLA
PAISGEN,043,ANTIGUA Y BARBUDA
PAISGEN,047,ANTILLAS HOLANDESAS
PAISGEN,053,ARABIA SAUDITA
PAISGEN,059,ARGELIA
PAISGEN,063,ARGENTINA
PAISGEN,069,AUSTRALIA
PAISGEN,072,AUSTRIA
PAISGEN,074,AZERBAIJAN
PAISGEN,077,BAHAMAS
PAISGEN,080,BAHREIN
PAISGEN,081,BANGLADESH
PAISGEN,083,BARBADOS
PAISGEN,087,BELGICA
PAISGEN,088,BELICE
PAISGEN,090,BERMUDAS
PAISGEN,091,BELARUS
PAISGEN,093,BIRMANIA (MYANMAR)
PAISGEN,097,BOLIVIA
PAISGEN,101,BOTSWANA
PAISGEN,105,BRASIL
PAISGEN,108,BRUNEI DARUSSALAM
PAISGEN,111,BULGARIA
PAISGEN,115,BURUNDI
PAISGEN,119,BUTAN
PAISGEN,127,CABO VERDE
PAISGEN,137,"CAIMAN, ISLAS"
PAISGEN,141,CAMBOYA (KAMPUCHEA)
PAISGEN,145,"CAMERUN, REPUBLICA UNIDA DEL"
PAISGEN,149,CANADA
PAISGEN,159,SANTA SEDE
PAISGEN,165,"COCOS (KEELING), ISLAS"
PAISGEN,169,COLOMBIA
PAISGEN,173,COMORAS
PAISGEN,177,CONGO
PAISGEN,183,"COOK, ISLAS"
PAISGEN,187,"COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE"
PAISGEN,190,"COREA (SUR), REPUBLICA DE"
PAISGEN,193,COSTA DE MARFIL
PAISGEN,196,COSTA RICA
PAISGEN,198,CROACIA
PAISGEN,199,CUBA
PAISGEN,203,CHAD
PAISGEN,211,CHILE
PAISGEN,215,CHINA
PAISGEN,218,TAIWAN (FORMOSA)
PAISGEN,221,CHIPRE
PAISGEN,229,BENIN
PAISGEN,232,DINAMARCA
PAISGEN,235,DOMINICA
PAISGEN,239,ECUADOR
PAISGEN,240,EGIPTO
PAISGEN,242,EL SALVADOR
PAISGEN,243,ERITREA
PAISGEN,244,EMIRATOS ARABES UNIDOS
PAISGEN,245,ESPAÑA
PAISGEN,246,ESLOVAQUIA
PAISGEN,247,ESLOVENIA
PAISGEN,249,ESTADOS UNIDOS
PAISGEN,251,ESTONIA
PAISGEN,253,ETIOPIA
PAISGEN,259,"FEROE, ISLAS"
PAISGEN,267,FILIPINAS
PAISGEN,271,FINLANDIA
PAISGEN,275,FRANCIA
PAISGEN,281,GABON
PAISGEN,285,GAMBIA
PAISGEN,287,GEORGIA
PAISGEN,289,GHANA
PAISGEN,293,GIBRALTAR
PAISGEN,297,GRANADA
PAISGEN,301,GRECIA
PAISGEN,305,GROENLANDIA
PAISGEN,309,GUADALUPE
PAISGEN,313,GUAM
PAISGEN,317,GUATEMALA
PAISGEN,325,GUAYANA FRANCESA
PAISGEN,329,GUINEA
PAISGEN,331,GUINEA ECUATORIAL
PAISGEN,334,GUINEA-BISSAU
PAISGEN,337,GUYANA
PAISGEN,341,HAITI
PAISGEN,345,HONDURAS
PAISGEN,351,HONG KONG
PAISGEN,355,HUNGRIA
PAISGEN,361,INDIA
PAISGEN,365,INDONESIA
PAISGEN,369,IRAK
PAISGEN,372,"IRAN, REPUBLICA ISLAMICA DEL"
PAISGEN,375,IRLANDA (EIRE)
PAISGEN,379,ISLANDIA
PAISGEN,383,ISRAEL
PAISGEN,386,ITALIA
PAISGEN,391,JAMAICA
PAISGEN,399,JAPON
PAISGEN,403,JORDANIA
PAISGEN,406,KAZAJSTAN
PAISGEN,410,KENIA
PAISGEN,411,KIRIBATI
PAISGEN,412,KIRGUIZISTAN
PAISGEN,413,KUWAIT
PAISGEN,420,"LAOS, REPUBLICA POPULAR DEMOCRATICA DE"
PAISGEN,426,LESOTHO
PAISGEN,429,LETONIA
PAISGEN,431,LIBANO
PAISGEN,434,LIBERIA
PAISGEN,438,LIBIA (INCLUYE FEZZAN)
PAISGEN,440,LIECHTENSTEIN
PAISGEN,443,LITUANIA
PAISGEN,445,LUXEMBURGO
PAISGEN,447,MACAO
PAISGEN,448,MACEDONIA
PAISGEN,450,MADAGASCAR
PAISGEN,455,MALAYSIA
PAISGEN,458,MALAWI
PAISGEN,461,MALDIVAS
PAISGEN,464,MALI
PAISGEN,467,MALTA
PAISGEN,469,"MARIANAS DEL NORTE, ISLAS"
PAISGEN,472,"MARSHALL, ISLAS"
PAISGEN,474,MARRUECOS
PAISGEN,477,MARTINICA
PAISGEN,485,MAURICIO
PAISGEN,488,MAURITANIA
PAISGEN,493,MEXICO
PAISGEN,494,"MICRONESIA, ESTADOS FEDERADOS DE"
PAISGEN,496,MOLDAVIA
PAISGEN,497,MONGOLIA
PAISGEN,498,MONACO
PAISGEN,501,"MONSERRAT, ISLA"
PAISGEN,505,MOZAMBIQUE
PAISGEN,507,NAMIBIA
PAISGEN,508,NAURU
PAISGEN,511,"NAVIDAD (CHRISTMAS), ISLAS"
PAISGEN,517,NEPAL
PAISGEN,521,NICARAGUA
PAISGEN,525,NIGER
PAISGEN,528,NIGERIA
PAISGEN,531,"NIUE, ISLA"
PAISGEN,535,"NORFOLK, ISLA"
PAISGEN,538,NORUEGA
PAISGEN,542,NUEVA CALEDONIA
PAISGEN,545,PAPUASIA NUEVA GUINEA
PAISGEN,548,NUEVA ZELANDIA
PAISGEN,551,VANUATU
PAISGEN,556,OMAN
PAISGEN,566,"PACIFICO, ISLAS (USA)"
PAISGEN,573,PAISES BAJOS (HOLANDA)
PAISGEN,576,PAKISTAN
PAISGEN,578,"PALAU, ISLAS"
PAISGEN,580,PANAMA
PAISGEN,586,PARAGUAY
PAISGEN,589,PERU
PAISGEN,593,"PITCAIRN, ISLA"
PAISGEN,599,POLINESIA FRANCESA
PAISGEN,603,POLONIA
PAISGEN,607,PORTUGAL
PAISGEN,611,PUERTO RICO
PAISGEN,618,QATAR
PAISGEN,628,REINO UNIDO
PAISGEN,640,REPUBLICA CENTROAFRICANA
PAISGEN,644,REPUBLICA CHECA
PAISGEN,647,REPUBLICA DOMINICANA
PAISGEN,660,REUNION
PAISGEN,665,ZIMBABWE
PAISGEN,670,RUMANIA
PAISGEN,675,RUANDA
PAISGEN,676,RUSIA
PAISGEN,677,"SALOMON, ISLAS"
PAISGEN,685,SAHARA OCCIDENTAL
PAISGEN,687,SAMOA
PAISGEN,690,SAMOA NORTEAMERICANA
PAISGEN,695,SAN CRISTOBAL Y NIEVES
PAISGEN,697,SAN MARINO
PAISGEN,700,SAN PEDRO Y MIGUELON
PAISGEN,705,SAN VICENTE Y LAS GRANADINAS
PAISGEN,710,SANTA ELENA
PAISGEN,715,SANTA LUCIA
PAISGEN,720,SANTO TOME Y PRINCIPE
PAISGEN,728,SENEGAL
PAISGEN,729,         SERBIA
PAISGEN,731,SEYCHELLES
PAISGEN,735,SIERRA LEONA
PAISGEN,741,SINGAPUR
PAISGEN,744,"SIRIA, REPUBLICA ARABE DE"
PAISGEN,748,SOMALIA
PAISGEN,750,SRI LANKA
PAISGEN,756,"SUDAFRICA, REPUBLICA DE"
PAISGEN,759,SUDAN
PAISGEN,764,SUECIA
PAISGEN,767,SUIZA
PAISGEN,770,SURINAM
PAISGEN,773,SWAZILANDIA
PAISGEN,774,TADJIKISTAN
PAISGEN,776,TAILANDIA
PAISGEN,780,"TANZANIA, REPUBLICA UNIDA DE"
PAISGEN,783,DJIBOUTI
PAISGEN,787,TERRITORIO BRITANICO DEL OCEANO INDICO
PAISGEN,788,TIMOR DEL ESTE
PAISGEN,800,TOGO
PAISGEN,805,TOKELAU
PAISGEN,810,TONGA
PAISGEN,815,TRINIDAD Y TOBAGO
PAISGEN,820,TUNICIA
PAISGEN,823,"TURCAS Y CAICOS, ISLAS"
PAISGEN,825,TURKMENISTAN
PAISGEN,827,TURQUIA
PAISGEN,828,TUVALU
PAISGEN,830,UCRANIA
PAISGEN,833,UGANDA
PAISGEN,845,URUGUAY
PAISGEN,847,UZBEKISTAN
PAISGEN,850,VENEZUELA
PAISGEN,855,VIETNAM
PAISGEN,863,"VIRGENES, ISLAS (BRITANICAS)"
PAISGEN,866,"VIRGENES, ISLAS (NORTEAMERICANAS)"
PAISGEN,870,FIJI
PAISGEN,875,"WALLIS Y FORTUNA, ISLAS"
PAISGEN,880,YEMEN
PAISGEN,885,YUGOSLAVIA
PAISGEN,888,ZAIRE
PAISGEN,890,ZAMBIA
PAISGEN,897,ZONA NEUTRAL PALESTINA
PAISGEN,911,ZONA FRANCA DE BARRANQUILLA
PAISGEN,912,ZONA FRANCA DE BUENAVENTURA
PAISGEN,913,ZONA FRANCA DE PALMASECA - CALI
PAISGEN,914,ZONA FRANCA DE CUCUTA
PAISGEN,915,ZONA FRANCA DE SANTA MARTA
PAISGEN,916,ZONA FRANCA DE CARTAGENA
PAISGEN,917,ZONA FRANCA DE RIONEGRO - MEDELLIN
PAISGEN,918,ZONA FRANCA DE CANDELARIA - CARTAGENA
PAISGEN,919,ZONA FRANCA DE BOGOTA
PAISGEN,920,ZONA FRANCA DE PACIFICO - CALI
PAISGEN,921,ZONA FRANCA DE BARU BEACH RESORT
PAISGEN,922,ZONA FRANCA DE POZOS COLORADOS
PAISGEN,923,ZONA FRANCA DE EUROCARIBE DE INDIAS
PAISGEN,924,ZONA FRANCA DEL EJE CAFETERO
PAISGEN,928,         ZFP La Cayena
PAISGEN,999,NO DECLARADOS
PAISPRO,013,AFGANISTAN
PAISPRO,017,ALBANIA
PAISPRO,023,ALEMANIA
PAISPRO,026,ARMENIA
PAISPRO,027,ARUBA
PAISPRO,029,BOSNIA-HERZEGOVINA
PAISPRO,031,BURKINA FASSO
PAISPRO,037,ANDORRA
PAISPRO,040,ANGOLA
PAISPRO,041,ANGUILLA
PAISPRO,043,ANTIGUA Y BARBUDA
PAISPRO,047,ANTILLAS HOLANDESAS
PAISPRO,053,ARABIA SAUDITA
PAISPRO,059,ARGELIA
PAISPRO,063,ARGENTINA
PAISPRO,069,AUSTRALIA
PAISPRO,072,AUSTRIA
PAISPRO,074,AZERBAIJAN
PAISPRO,077,BAHAMAS
PAISPRO,080,BAHREIN
PAISPRO,081,BANGLADESH
PAISPRO,083,BARBADOS
PAISPRO,087,BELGICA
PAISPRO,088,BELICE
PAISPRO,090,BERMUDAS
PAISPRO,091,BELARUS
PAISPRO,093,BIRMANIA (MYANMAR)
PAISPRO,097,BOLIVIA
PAISPRO,101,BOTSWANA
PAISPRO,105,BRASIL
PAISPRO,108,BRUNEI DARUSSALAM
PAISPRO,111,BULGARIA
PAISPRO,115,BURUNDI
PAISPRO,119,BUTAN
PAISPRO,127,CABO VERDE
PAISPRO,137,"CAIMAN, ISLAS"
PAISPRO,141,CAMBOYA (KAMPUCHEA)
PAISPRO,145,"CAMERUN, REPUBLICA UNIDA DEL"
PAISPRO,149,CANADA
PAISPRO,159,SANTA SEDE
PAISPRO,165,"COCOS (KEELING), ISLAS"
PAISPRO,169,COLOMBIA
PAISPRO,173,COMORAS
PAISPRO,177,CONGO
PAISPRO,183,"COOK, ISLAS"
PAISPRO,187,"COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE"
PAISPRO,190,"COREA (SUR), REPUBLICA DE"
PAISPRO,193,COSTA DE MARFIL
PAISPRO,196,COSTA RICA
PAISPRO,198,CROACIA
PAISPRO,199,CUBA
PAISPRO,203,CHAD
PAISPRO,211,CHILE
PAISPRO,215,CHINA
PAISPRO,218,TAIWAN (FORMOSA)
PAISPRO,221,CHIPRE
PAISPRO,229,BENIN
PAISPRO,232,DINAMARCA
PAISPRO,235,DOMINICA
PAISPRO,239,ECUADOR
PAISPRO,240,EGIPTO
PAISPRO,242,EL SALVADOR
PAISPRO,243,ERITREA
PAISPRO,244,EMIRATOS ARABES UNIDOS
PAISPRO,245,ESPAÑA
PAISPRO,246,ESLOVAQUIA
PAISPRO,247,ESLOVENIA
PAISPRO,249,ESTADOS UNIDOS
PAISPRO,251,ESTONIA
PAISPRO,253,ETIOPIA
PAISPRO,259,"FEROE, ISLAS"
PAISPRO,267,FILIPINAS
PAISPRO,271,FINLANDIA
PAISPRO,275,FRANCIA
PAISPRO,281,GABON
PAISPRO,285,GAMBIA
PAISPRO,287,GEORGIA
PAISPRO,289,GHANA
PAISPRO,293,GIBRALTAR
PAISPRO,297,GRANADA
PAISPRO,301,GRECIA
PAISPRO,305,GROENLANDIA
PAISPRO,309,GUADALUPE
PAISPRO,313,GUAM
PAISPRO,317,GUATEMALA
PAISPRO,325,GUAYANA FRANCESA
PAISPRO,329,GUINEA
PAISPRO,331,GUINEA ECUATORIAL
PAISPRO,334,GUINEA-BISSAU
PAISPRO,337,GUYANA
PAISPRO,341,HAITI
PAISPRO,345,HONDURAS
PAISPRO,351,HONG KONG
PAISPRO,355,HUNGRIA
PAISPRO,361,INDIA
PAISPRO,365,INDONESIA
PAISPRO,369,IRAK
PAISPRO,372,"IRAN, REPUBLICA ISLAMICA DEL"
PAISPRO,375,IRLANDA (EIRE)
PAISPRO,379,ISLANDIA
PAISPRO,383,ISRAEL
