FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG;NIT;RAZ_SIAL
1601;3;023;DEU;3;BOG;5;4;211;1;198;1;6;2;603199010;5;11;U;1350;215;170;823,2;2672527,03;0;0;0;0;900011589;GREENEX S.A.S.
1601;3;023;DEU;3;BOG;5;4;211;1;198;1;6;2;604200000;5;33;KG;7;8;7;56;181804,56;0;0;0;0;900011589;GREENEX S.A.S.
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;1;7007210000;11;11;U;81;3942;3303;36830,39;119503326,9;25942,48;15271;522;0;860535706;A .G.P. DE COLOMBIA S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;603121000;11;11;U;10060;392,93;360;1609,6;5316380,03;0;0;0;0;800065684;FLORES DE LA HACIENDA SAS
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;603129000;11;11;U;70800;2470,06;2263;9969,6;32928791,23;0;0;0;0;800065684;FLORES DE LA HACIENDA SAS
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;803901200;11;33;KG;13;15,36;13;47,5;152628,9;0;22,61;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;804200000;11;33;KG;43,5;51,4;43,5;171,7;551713,3;0;81,72;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;804501000;11;33;KG;48;56,72;48;139,5;448246,98;0;66,39;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810901010;11;33;KG;75,8;89,57;75,8;440;1413825,6;0;209,42;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810901020;11;33;KG;60,4;71,37;60,4;254,2;816805,6;0;120,99;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810901030;11;33;KG;516,7;610,57;516,7;1785;5735633,4;0;849,56;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810902000;11;33;KG;120;141,8;120;432;1388119,68;0;205,61;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810903000;11;33;KG;136;160,7;136;475,6;1528216,94;0;226,36;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810904000;11;33;KG;92,3;109,06;92,3;423;1359200,52;0;201,33;0;0;800026845;OCATI S A
1601;3;023;DEU;3;BOG;11;4;23;1;198;1;6;2;810905000;11;33;KG;3446,2;4262,6;3446,2;14708;47260333,92;0;10269,14;0;0;800026845;OCATI S A
