FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG,NIT,RAZ_SIAL
2005,3,023,DEU,3,BOG,5,4,169,1,199,1,8,2,6103430000,5,11,U,120,20,19,4920,19091961.6,0,326.74,49.33,0,900387360,ESPIRITUS S.A.S.
2005,3,023,DEU,3,BOG,5,4,169,1,199,1,8,2,6104630000,5,11,U,30,20,19,1230,4772990.4,0,81.69,12.33,0,900387360,ESPIRITUS S.A.S.
2005,3,023,DEU,3,BOG,5,4,169,1,199,1,8,2,6110309000,5,11,U,300,40,38,10308,39999987.84,0,684.56,103.34,0,900387360,ESPIRITUS S.A.S.
2005,3,023,DEU,3,BOG,5,4,249,1,198,1,8,2,603199090,5,11,U,718,317.99,282,718,2834513.22,0,0,0,0,901152897,MUSA LLAMA DE SELVA SAS
2005,3,023,DEU,3,BOG,5,4,249,1,198,1,8,2,1515900090,5,33,KG,139.5,156.9,139.5,15122.7,58710404.52,0,1527,0,20,900314941,KAHAI SAS
2005,3,023,DEU,3,BOG,5,4,573,1,198,1,6,2,810905000,5,33,KG,3456,4459,3456,15552,61396030.08,0,0,0,0,800176428,COMERCIALIZADORA INTERNACIONAL CARIBBEAN EXOTICS S. A.
2005,3,023,DEU,3,BOG,11,4,23,1,198,1,6,1,603110000,11,11,U,1400,54,51,448,1774823.68,391.22,0,0,0,830042322,EXCELLENCE FLOWERS S.A.S.
2005,3,023,DEU,3,BOG,11,4,23,1,198,1,8,2,301110020,11,11,U,60,10.67,8.54,750,2943405,0,0,0,0,900048569,BEST AMAZON EXPORT FISH SAS
2005,3,023,DEU,3,BOG,11,4,23,1,198,1,8,2,301110090,11,11,U,1474,262.32,209.86,8202.6,32191431.8,0,0,0,0,900048569,BEST AMAZON EXPORT FISH SAS
2005,3,023,DEU,3,BOG,11,4,149,1,198,1,8,2,301110090,11,11,U,60630,1182,945.6,13148.6,51622324,0,0,0,0,19473179,ZEA BARRERA ABEL
2005,3,023,DEU,3,BOG,11,4,149,1,199,1,8,2,301110090,11,11,U,8800,591,472.8,6109.36,23976427.69,0,0,0,0,900048569,BEST AMAZON EXPORT FISH SAS
2005,3,023,DEU,3,BOG,11,4,169,1,198,1,6,1,603121000,11,11,U,960,36.53,33,172.8,670856.25,168.4,0,0,0,860351680,C.I. AGROMONTE S.A.S.
2005,3,023,DEU,3,BOG,11,4,169,1,198,1,6,1,603129000,11,11,U,2240,87.46,79,403.2,1565331.26,392.94,0,0,0,860351680,C.I. AGROMONTE S.A.S.
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,1,603121000,11,11,U,5760,173.94,158,585.65,2303197.46,552.99,0,0,0,800220087,TURFLOR S.A.S
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,1,603129000,11,11,U,14780,524.05,476,1608.65,6326370.02,1523.09,0,0,0,800220087,TURFLOR S.A.S
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603110000,11,11,U,9096,852,809,3867.54,15268235.73,0,0,0,0,830144787,EL MILAGRO DE LAS FLORES S A S
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603121000,11,11,U,30450,1046.69,957,3958.5,15360880.08,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603129000,11,11,U,38720,1462.3,1337,5072,19681794.56,0,0,0,0,800065684,FLORES DE LA HACIENDA SAS
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603129000,11,11,U,8160,306,253,1124.8,4440474.19,0,0,0,0,900552241,GEOFLORA SAS
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603193000,11,11,U,9000,415.38,353,1458.6,5662679.02,0,0,0,0,800076704,COMERCIALIZADORA INTERNACIONAL GRANADA LTDA
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,6,2,603199090,11,11,U,720,110.61,94,564,2189600.28,0,0,0,0,800076704,COMERCIALIZADORA INTERNACIONAL GRANADA LTDA
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,8,1,603129000,11,11,U,14080,556,509,2316.8,8994443.13,2316.8,0,0,0,800149419,LUISIANA FARMS S.A.S
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,8,1,7007210000,11,11,U,1,108,69,1037.76,3916765.68,331.47,901,50,0,860535706,A .G.P. DE COLOMBIA S A
2005,3,023,DEU,3,BOG,11,4,249,1,198,1,8,2,7117900000,11,33,KG,23,23,23,7215.3,27593471.79,0,0,0,0,900281312,MANUFACTURA LAMOD S.A.S.
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,603129000,11,11,U,14000,454,419,1820,7100366,0,0,0,0,900552241,GEOFLORA SAS
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,804200000,11,33,KG,43.5,51.17,43.5,137.8,549835.78,0,27.29,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,804501000,11,33,KG,46.5,55.31,46.5,178.5,712232.85,0,98.2,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,807190000,11,33,KG,12,14.3,12,35,139653.5,0,19.5,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810901010,11,33,KG,620,732.96,620,3168.5,12642631.85,0,839.42,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810901020,11,33,KG,336.5,398.35,336.5,1132.5,4518788.25,0,423.5,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810901030,11,33,KG,420.25,500.47,420.25,1615.5,6446006.55,0,785.26,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810901040,11,33,KG,18,21.18,18,62.7,250179.27,0,15.81,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810902000,11,33,KG,42,49.58,42,154,614475.4,0,47.66,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810903000,11,33,KG,151,179.13,151,471,1879337.1,0,194.96,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810904000,11,33,KG,68.2,80.57,68.2,459.5,1833450.95,0,109.76,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810905000,11,33,KG,905.7,1081.53,905.7,3525,14065102.5,0,1886.43,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810909010,11,33,KG,13,15.18,13,55,219455.5,0,7.22,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,6,2,810909020,11,33,KG,30,35.13,30,109,434920.9,0,13.72,0,0,800026845,OCATI S A
2005,3,023,DEU,3,BOG,11,4,573,1,198,1,8,1,3921120000,11,33,KG,3658.2,3948,3658.2,31847.7,121472503.61,21428.52,11147.85,0,0,860002067,PROQUINAL S.A.S.
